 PPID   PID  PGID   SID TTY      TPGID STAT   UID   TIME COMMAND
 2980  2988  2980  2980 ?           -1 S    65534   0:00 /usr/bin/php-cgi
 2980  2989  2980  2980 ?           -1 S    65534   0:00 /usr/bin/php-cgi
 2980  2990  2980  2980 ?           -1 S    65534   0:03 /usr/bin/php-cgi
 2980  2991  2980  2980 ?           -1 S    65534   0:00 /usr/bin/php-cgi
  730  3357  3357   730 ?           -1 S        0   0:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /var/run/dhclient-eth0.pid -lf /var/lib/dhcp3/dhclient-14e05a14-0c4e-40bf-b6a2-a9d53ff2ca3d-eth0.lease -cf /var/run/nm-dhclient-eth0.conf eth0
 1028  3413  1028  1028 ?           -1 S      117   0:00 qmgr -l -t fifo -u
  680  3534  3534  3534 ?           -1 Ss       0   0:00 sshd: suncco [priv] 
  680  3536  3536  3536 ?           -1 Ss       0   0:00 sshd: suncco [priv] 
  680  3538  3538  3538 ?           -1 Ss       0   0:00 sshd: suncco [priv] 
 3534  3667  3534  3534 ?           -1 S     1000   0:00 sshd: suncco@pts/5  
 3667  3668  3668  3668 pts/5     4095 Ss    1000   0:00 -bash
 3536  3815  3536  3536 ?           -1 S     1000   0:00 sshd: suncco@pts/7  
 3815  3816  3816  3816 pts/7     3816 Ss+   1000   0:00 -bash
 3538  3962  3538  3538 ?           -1 S     1000   0:00 sshd: suncco@pts/8  
 3962  3963  3963  3963 pts/8     3963 Ss+   1000   0:00 -bash
 1028  4003  1028  1028 ?           -1 S      117   0:00 pickup -l -t fifo -u -c
 3668  4095  4095  3668 pts/5     4095 R+    1000   0:00 ps axj
 2606  6587  6587  6587 pts/6     6587 Ss+      0   0:03 bash
 2606  6712  6712  6712 pts/4     6712 Ss+      0   0:05 bash
    1  7003  2362  2362 ?           -1 S        0   2:42 /usr/bin/python /usr/bin/gwibber-service
    1  7023  2362  2362 ?           -1 S        0  97:24 /usr/bin/python /usr/lib/desktopcouch/desktopcouch-service
 7023  7103  2362  2362 ?           -1 SN       0  97:15 /usr/bin/python /usr/lib/desktopcouch/desktopcouch-service
    1  7497  7497  7497 ?           -1 Ss       1   0:00 portmap
    1  7586  7586  7586 ?           -1 Ss       0   0:00 rpc.rstatd
    1  9017  9017  9017 ?           -1 Ss     122   0:00 rpc.statd -L
    2  9262     0     0 ?           -1 S        0   0:00 [rpciod/0]
    2  9271     0     0 ?           -1 S        0   0:00 [lockd]
    2  9522     0     0 ?           -1 S        0   0:00 [nfsd4]
    2  9523     0     0 ?           -1 S        0   0:00 [nfsd]
    2  9524     0     0 ?           -1 S        0   0:00 [nfsd]
    2  9525     0     0 ?           -1 S        0   0:00 [nfsd]
    2  9526     0     0 ?           -1 S        0   0:00 [nfsd]
    2  9527     0     0 ?           -1 S        0   0:00 [nfsd]
    2  9528     0     0 ?           -1 S        0   0:00 [nfsd]
    2  9529     0     0 ?           -1 S        0   0:00 [nfsd]
    2  9530     0     0 ?           -1 S        0   0:00 [nfsd]
    1  9534  9534  9534 ?           -1 Ss       0   0:00 /usr/sbin/rpc.mountd --manage-gids
    2  9576     0     0 ?           -1 S        0   0:00 [nfsiod]
    1 11580 11580 11580 ?           -1 Ss       0   0:00 nginx: master process /usr/sbin/nginx
11580 11581 11580 11580 ?           -1 S       33   0:00 nginx: worker process
    1 15837 15837 15837 ?           -1 Ss       0   0:00 /usr/sbin/xinetd -pidfile /var/run/xinetd.pid -stayalive -inetd_compat -inetd_ipv6
    1 17352 17352 17352 ?           -1 Ssl    116   8:15 /usr/sbin/mysqld
    1 19561 19561 19561 ?           -1 S<s      0   0:02 /usr/sbin/bluetoothd --udev
    1 19759  2362  2362 ?           -1 S        0   0:01 /usr/lib/gvfs/gvfsd-http --spawner :1.6 /org/gtk/gvfs/exec_spaw/2
 2606 19874 19874 19874 pts/1    19874 Ss+      0   0:03 bash
    1 20954 20953 20953 ?           -1 S      119   9:48 /usr/sbin/snmpd -Lsd -Lf /dev/null -u snmp -g snmp -I -smux -p /var/run/snmpd.pid -c /etc/snmp/snmpd.conf
    1 22886  2323  2323 ?           -1 S        0   0:17 gedit /home/suncco/c/apue/test_destination
    1 24239 24239 23018 ?           -1 S        0  23:48 tcpdump -e
  327 27082   327   327 ?           -1 S<       0   0:00 udevd --daemon
  327 27083   327   327 ?           -1 S<       0   0:00 udevd --daemon
 2103 27097  2102  2102 ?           -1 S        0   0:00 /usr/lib/hal/hald-addon-rfkill-killswitch
    1 27373 27373 27373 ?           -1 Ss       0   0:00 /usr/sbin/in.tftpd --listen --user tftp --address 0.0.0.0:69 --secure /var/lib/tftpboot
    1 30503 30503 30503 ?           -1 Ss       0   0:00 /usr/sbin/vsftpd
    1 32370   690   690 ?           -1 S        0   0:21 /usr/sbin/system-tools-backends
    1 32372   690   690 ?           -1 S        0   0:09 /usr/bin/perl /usr/share/system-tools-backends-2.0/scripts/SystemToolsBackends.pl -m Platform
